t_delay_s,v_ms,free_drop_m,KE_MJ,decel_ms2,stroke_m,force_MN
1.000000000000000056e-01,9.810000000000000941e-01,4.905000000000001026e-02,4.795444863000000724e-01,9.000000000000000000e+00,5.346450000000000508e-02,1.874604599999999976e+01
1.000000000000000056e-01,9.810000000000000941e-01,4.905000000000001026e-02,4.795444863000000724e-01,2.000000000000000000e+01,2.405902500000000471e-02,2.970864599999999456e+01
1.499999999999999944e-01,1.471500000000000030e+00,1.103625000000000023e-01,1.078975094175000038e+00,9.000000000000000000e+00,1.202951250000000027e-01,1.874604599999999976e+01
1.499999999999999944e-01,1.471500000000000030e+00,1.103625000000000023e-01,1.078975094175000038e+00,2.000000000000000000e+01,5.413280624999999846e-02,2.970864600000000166e+01
2.000000000000000111e-01,1.962000000000000188e+00,1.962000000000000410e-01,1.918177945200000289e+00,9.000000000000000000e+00,2.138580000000000203e-01,1.874604599999999976e+01
2.000000000000000111e-01,1.962000000000000188e+00,1.962000000000000410e-01,1.918177945200000289e+00,2.000000000000000000e+01,9.623610000000001885e-02,2.970864599999999456e+01
2.500000000000000000e-01,2.452500000000000124e+00,3.065625000000000155e-01,2.997153039375000105e+00,9.000000000000000000e+00,3.341531250000000508e-01,1.874604599999999976e+01
2.500000000000000000e-01,2.452500000000000124e+00,3.065625000000000155e-01,2.997153039375000105e+00,2.000000000000000000e+01,1.503689062500000173e-01,2.970864600000000166e+01
2.999999999999999889e-01,2.943000000000000060e+00,4.414500000000000091e-01,4.315900376700000152e+00,9.000000000000000000e+00,4.811805000000000110e-01,1.874604599999999976e+01
2.999999999999999889e-01,2.943000000000000060e+00,4.414500000000000091e-01,4.315900376700000152e+00,2.000000000000000000e+01,2.165312249999999938e-01,2.970864600000000166e+01
3.499999999999999778e-01,3.433499999999999996e+00,6.008624999999999661e-01,5.874419957175000206e+00,9.000000000000000000e+00,6.549401249999999841e-01,1.874604599999999976e+01
3.499999999999999778e-01,3.433499999999999996e+00,6.008624999999999661e-01,5.874419957175000206e+00,2.000000000000000000e+01,2.947230562500000040e-01,2.970864600000000166e+01
