distance_m,settlement_mm
0.000,16.2600
0.250,16.2362
0.500,16.1652
0.750,16.0480
1.000,15.8862
1.250,15.6822
1.500,15.4387
1.750,15.1590
2.000,14.8466
2.250,14.5053
2.500,14.1391
2.750,13.7519
3.000,13.3477
3.250,12.9303
3.500,12.5035
3.750,12.0705
4.000,11.6347
4.250,11.1988
4.500,10.7655
4.750,10.3370
5.000,9.9153
5.250,9.5020
5.500,9.0985
5.750,8.7059
6.000,8.3251
6.250,7.9568
6.500,7.6015
6.750,7.2593
7.000,6.9306
7.250,6.6153
7.500,6.3134
7.750,6.0246
8.000,5.7488
8.250,5.4856
8.500,5.2346
8.750,4.9956
9.000,4.7680
9.250,4.5515
9.500,4.3456
9.750,4.1499
10.000,3.9639
10.250,3.7872
10.500,3.6194
10.750,3.4599
11.000,3.3085
11.250,3.1647
11.500,3.0281
11.750,2.8984
12.000,2.7752
12.250,2.6582
12.500,2.5469
12.750,2.4412
13.000,2.3408
13.250,2.2452
13.500,2.1544
13.750,2.0680
14.000,1.9858
14.250,1.9075
14.500,1.8330
14.750,1.7621
15.000,1.6945
15.250,1.6301
15.500,1.5687
15.750,1.5102
16.000,1.4543
16.250,1.4011
16.500,1.3502
16.750,1.3016
17.000,1.2552
17.250,1.2109
17.500,1.1686
17.750,1.1280
18.000,1.0893
18.250,1.0522
18.500,1.0167
18.750,0.9827
19.000,0.9502
19.250,0.9190
19.500,0.8891
19.750,0.8604
20.000,0.8329
20.250,0.8066
20.500,0.7812
20.750,0.7569
21.000,0.7336
21.250,0.7112
21.500,0.6896
21.750,0.6689
22.000,0.6490
22.250,0.6298
22.500,0.6114
22.750,0.5936
23.000,0.5765
23.250,0.5601
23.500,0.5442
23.750,0.5289
24.000,0.5142
24.250,0.5000
24.500,0.4863
24.750,0.4731
25.000,0.4603
25.250,0.4480
25.500,0.4361
25.750,0.4247
26.000,0.4136
26.250,0.4029
26.500,0.3925
26.750,0.3825
27.000,0.3728
27.250,0.3634
27.500,0.3544
27.750,0.3456
28.000,0.3371
28.250,0.3289
28.500,0.3210
28.750,0.3133
29.000,0.3058
29.250,0.2986
29.500,0.2915
29.750,0.2847
30.000,0.2781
