hour,P_MW,SOC_pct,tariff_PKR
0,-0.4700,90.00,6.0
1,0.0000,90.00,6.0
2,0.0000,90.00,6.0
3,0.0000,90.00,6.0
4,0.0000,90.00,6.0
5,0.0000,90.00,7.0
6,0.0000,90.00,8.0
7,0.0000,90.00,10.0
8,0.0000,90.00,12.0
9,0.0000,90.00,14.0
10,0.0000,90.00,9.0
11,0.0000,90.00,9.0
12,0.0000,90.00,9.0
13,0.0000,90.00,10.0
14,0.0000,90.00,11.0
15,0.0000,90.00,12.0
16,0.0000,90.00,14.0
17,0.7986,10.00,28.0
18,0.0000,10.00,30.0
19,0.0000,10.00,26.0
20,0.0000,10.00,16.0
21,0.0000,10.00,12.0
22,-0.9399,90.00,8.0
23,0.0000,90.00,7.0
