load_MW,flow_Lmin,line_loss_pct,eta_median,E_delivered_MWh,endurance_h
1.000000000000000021e-02,8.571428571428572951e+00,1.586759811099343054e-01,7.915384994557052023e-01,1.008166530398270311e+00,1.008166530398270311e+02
2.512820512820512775e-02,2.153846153846154010e+01,3.987242602249631562e-01,7.892272844470897830e-01,1.005222782724793262e+00,4.000376380231320184e+01
4.025641025641025356e-02,3.450549450549451080e+01,6.387725393399921181e-01,7.874742066973443588e-01,1.002989923156124785e+00,2.491503630769991418e+01
5.538461538461538630e-02,4.747252747252748151e+01,8.788208184550210245e-01,7.856493449538494156e-01,1.000665633770755569e+00,1.806757394308308662e+01
7.051282051282051211e-02,6.043956043956044510e+01,1.118869097570049709e+00,7.835801729278730754e-01,9.980301713344240655e-01,1.415388242983365075e+01
8.564102564102563098e-02,7.340659340659340160e+01,1.358917376685078615e+00,7.813543615687558175e-01,9.951952005568999171e-01,1.162054276099373951e+01
1.007692307692307637e-01,8.637362637362637940e+01,1.598965655800107744e+00,7.800635421406659775e-01,9.935511100356139158e-01,9.859667504170214869e+00
1.158974358974358826e-01,9.934065934065931458e+01,1.839013934915136428e+00,7.780429922582738911e-01,9.909775766372653782e-01,8.550470240896760998e+00
1.310256410256410153e-01,1.123076923076923208e+02,2.079062214030165556e+00,7.755776777210345863e-01,9.878375555200891167e-01,7.539269014732579599e+00
1.461538461538461620e-01,1.252747252747252844e+02,2.319110493145194241e+00,7.737905298703302570e-01,9.855613015549412603e-01,6.743314168533808939e+00
1.612820512820512808e-01,1.382417582417582196e+02,2.559158772260222481e+00,7.720782998145856446e-01,9.833804688655259918e-01,6.097271587560495476e+00
1.764102564102563997e-01,1.512087912087912116e+02,2.799207051375251165e+00,7.698759077166861253e-01,9.805753267259549322e-01,5.558493857894222678e+00
1.915384615384615463e-01,1.641758241758242320e+02,5.092071501378022447e+00,7.523588253777333534e-01,9.582641742848462263e-01,5.002985648876706826e+00
2.066666666666666652e-01,1.771428571428571388e+02,5.816607557563949094e+00,7.470383779143692227e-01,9.514876282760360571e-01,4.603972394884046082e+00
2.217948717948717841e-01,1.901098901098901024e+02,6.582056836660156840e+00,7.401454637849059770e-01,9.427082633721017846e-01,4.250360956244159105e+00
2.369230769230769307e-01,2.030769230769230944e+02,7.387702354961676932e+00,7.335121179760177856e-01,9.342595053727406063e-01,3.943303107092736681e+00
2.520512820512820218e-01,2.160439560439560296e+02,8.232885895197538773e+00,7.270663434310873363e-01,9.260496530873992826e-01,3.674052540224677532e+00
2.671794871794871962e-01,2.290109890109890216e+02,9.116999862918921949e+00,7.199684622184214788e-01,9.170092257673472247e-01,3.432184242315407197e+00
2.823076923076923150e-01,2.419780219780220136e+02,1.003948067957031931e+01,7.127714355972867288e-01,9.078425189516931004e-01,3.215790939065942489e+00
2.974358974358974339e-01,2.549450549450549488e+02,1.099980335361429873e+01,7.056024851445787949e-01,8.987115721822387382e-01,3.021530285785113179e+00
3.125641025641025528e-01,2.679120879120879408e+02,1.199747696914918649e+01,6.975889007612805504e-01,8.885048323087911815e-01,2.842632359314426260e+00
3.276923076923076716e-01,2.808791208791208760e+02,1.303204089916583186e+01,6.891330608762333831e-01,8.777348005739185055e-01,2.678533428981442199e+00
3.428205128205127905e-01,2.938461538461538680e+02,1.410306159832944495e+01,6.803369108445138647e-01,8.665313227084207037e-01,2.527653072971459025e+00
3.579487179487179649e-01,3.068131868131868032e+02,1.521012986447069437e+01,6.712891051090992267e-01,8.550073160779624315e-01,2.388630754085998120e+00
3.730769230769230838e-01,3.197802197802198521e+02,1.635285848302975964e+01,6.625539603773689112e-01,8.438815394255685387e-01,2.261950518047915359e+00
3.882051282051282026e-01,3.327472527472527872e+02,1.753088018728644215e+01,6.530939852894357411e-01,8.318325610516627000e-01,2.142765513937572308e+00
4.033333333333333215e-01,3.457142857142857224e+02,1.874384588119002615e+01,6.432268369864202473e-01,8.192649744132151080e-01,2.031235473751773490e+00
4.184615384615384404e-01,3.586813186813186576e+02,1.999142308224998743e+01,6.342107071742191238e-01,8.077813127636079837e-01,1.930359754765975211e+00
4.335897435897435592e-01,3.716483516483515928e+02,2.127329455015106063e+01,6.236620825228048615e-01,7.943457435239524855e-01,1.832021525572688159e+00
4.487179487179487336e-01,3.846153846153846416e+02,2.258915707314168131e+01,6.133392520133089665e-01,7.811977637026245036e-01,1.740955016251563237e+00
4.638461538461538525e-01,3.975824175824176336e+02,2.393872038926488344e+01,6.023773563046915802e-01,7.672358195006129256e-01,1.654073906054389642e+00
4.789743589743589713e-01,4.105494505494505688e+02,2.532170622348260380e+01,5.919838750706317709e-01,7.539978532845579284e-01,1.574192520240779380e+00
4.941025641025640902e-01,4.235164835164835040e+02,2.673784742492906830e+01,5.806627870852645312e-01,7.395784131658654781e-01,1.496811526386546687e+00
5.092307692307691536e-01,4.364835164835164960e+02,2.818688719109633212e+01,5.691413391407768030e-01,7.249037786315428722e-01,1.423527057735658463e+00
5.243589743589743835e-01,4.494505494505494880e+02,2.966857836783957225e+01,5.570951149171616823e-01,7.095607471955825973e-01,1.353196534994020706e+00
5.394871794871795023e-01,4.624175824175824800e+02,3.118268281579320700e+01,5.453319491996720947e-01,6.945782416370327450e-01,1.287478679840507567e+00
5.546153846153846212e-01,4.753846153846154152e+02,3.272897083519099937e+01,5.328859963989246440e-01,6.787260840208734214e-01,1.223777960093114459e+00
5.697435897435897401e-01,4.883516483516483504e+02,3.430722064224282519e+01,5.201585800717384300e-01,6.625154320205765002e-01,1.162830866282740017e+00
5.848717948717948589e-01,5.013186813186812287e+02,3.591721789118599872e+01,5.080232528647397050e-01,6.470589119221347163e-01,1.106326065978222584e+00
5.999999999999999778e-01,5.142857142857143344e+02,3.755875523693669038e+01,4.945718156967742196e-01,6.299260892636998621e-01,1.049876815439499733e+00
