windspeed_m_s,power_W_at_rho_1.160
3.0,43310.1
3.5,68774.9
4.0,102661.0
4.5,146171.7
5.0,200509.8
5.5,266878.6
6.0,346481.0
6.5,440520.1
7.0,550198.9
7.5,676720.6
8.0,818406.7
8.5,956090.5
9.0,1101824.0
9.5,1255195.8
10.0,1413265.0
10.5,1576615.5
11.0,1744116.0
11.5,1915625.5
12.0,2089025.3
12.5,2263620.7
13.0,2432902.1
13.5,2500000.0
14.0,2500000.0
14.5,2500000.0
15.0,2500000.0
15.5,2500000.0
16.0,2500000.0
16.5,2500000.0
17.0,2500000.0
17.5,2500000.0
18.0,2500000.0
18.5,2500000.0
19.0,2500000.0
19.5,2500000.0
20.0,2500000.0
20.5,2500000.0
21.0,2500000.0
21.5,2406695.3
22.0,2036610.8
22.5,2073530.7
23.0,2214860.7
23.5,2362471.1
24.0,2500000.0
24.5,2500000.0
25.0,2500000.0
