windspeed_m_s,power_W
3.0,45736.98
3.5,72628.633
4.0,108413.58
4.5,154362.31
5.0,211745.28
5.5,281832.97
6.0,365895.84
6.5,465204.38
7.0,581029.06
7.5,714640.31
8.0,864265.69
8.5,1009664.5
9.0,1163564.1
9.5,1325530.1
10.0,1492456.6
10.5,1664960.3
11.0,1841846.6
11.5,2022966.6
12.0,2206082.8
12.5,2390461.5
13.0,2500000.0
13.5,2500000.0
14.0,2500000.0
14.5,2500000.0
15.0,2500000.0
15.5,2500000.0
16.0,2500000.0
16.5,2500000.0
17.0,2500000.0
17.5,2500000.0
18.0,2500000.0
18.5,2500000.0
19.0,2500000.0
19.5,2500000.0
20.0,2500000.0
20.5,2500000.0
21.0,2500000.0
21.5,2500000.0
22.0,2500000.0
22.5,2500000.0
23.0,2500000.0
23.5,2500000.0
24.0,2500000.0
24.5,2500000.0
25.0,2500000.0
