distance_m,settlement_mm
0.000,16.2980
1.000,14.0094
2.000,0.0225
3.000,0.4738
4.000,97.8266
5.000,137.6565
6.000,129.3946
7.000,67.3632
8.000,1.5912
9.000,33.2735
10.000,45.7206
11.000,50.3703
12.000,49.8674
13.000,46.1553
14.000,40.5252
15.000,33.9292
16.000,27.1949
17.000,20.8886
18.000,15.4215
19.000,10.9543
20.000,7.4995
21.000,4.9518
22.000,3.1538
23.000,1.9432
24.000,1.1705
25.000,0.7032
26.000,0.4324
27.000,0.2778
28.000,0.1876
29.000,0.1322
30.000,0.0960
31.000,0.0710
32.000,0.0531
33.000,0.0399
34.000,0.0300
35.000,0.0225
36.000,0.0169
37.000,0.0129
38.000,0.0100
39.000,0.0083
40.000,0.0077
